
Tracing route to edge-term4-sea1.roblox.com [128.116.115.3]
over a maximum of 15 hops:

  1    20 ms    14 ms    14 ms  192.168.68.1 
  2     *        *        *     Request timed out.
  3    17 ms    16 ms    17 ms  10.128.41.41 
  4    14 ms    18 ms    22 ms  10.128.17.246 
  5     *        *        *     Request timed out.
  6     *       48 ms    52 ms  10.128.4.190 
  7     *       46 ms    47 ms  10.128.4.17 
  8    51 ms    47 ms    49 ms  50.248.117.237 
  9    51 ms    50 ms    51 ms  96.110.34.134 
 10     *        *        *     Request timed out.
 11     *        *        *     Request timed out.
 12     *        *        *     Request timed out.
 13     *        *        *     Request timed out.
 14     *        *        *     Request timed out.
 15     *        *        *     Request timed out.

Trace complete.
