
Tracing route to edge-term4-lax4.roblox.com [128.116.63.3]
over a maximum of 15 hops:

  1     6 ms     5 ms     5 ms  192.168.68.1 
  2     *        *        *     Request timed out.
  3    17 ms    19 ms    17 ms  10.128.41.41 
  4    22 ms    27 ms    17 ms  10.128.17.246 
  5     *        *        *     Request timed out.
  6     *        *        *     Request timed out.
  7     *        *       46 ms  10.128.4.17 
  8    53 ms    47 ms    43 ms  50.248.117.237 
  9    72 ms    76 ms    70 ms  96.110.33.2 
 10     *        *        *     Request timed out.
 11     *        *        *     Request timed out.
 12     *        *        *     Request timed out.
 13    72 ms    79 ms    68 ms  128.116.63.3 

Trace complete.
