
Tracing route to edge-term4-lax4.roblox.com [128.116.63.3]
over a maximum of 15 hops:

  1     1 ms     2 ms     1 ms  192.168.68.1 
  2    43 ms    45 ms    42 ms  10.5.0.1 
  3     *        *        *     Request timed out.
  4     *        *        *     Request timed out.
  5    71 ms    68 ms    64 ms  62.115.132.152 
  6    74 ms     *       78 ms  62.115.139.150 
  7    77 ms    78 ms    79 ms  62.115.140.227 
  8    76 ms    81 ms     *     62.115.42.143 
  9     *        *        *     Request timed out.
 10     *        *        *     Request timed out.
 11     *        *        *     Request timed out.
 12     *        *        *     Request timed out.
 13     *       70 ms    76 ms  128.116.63.3 

Trace complete.
